Timestamp,WITS_Campus_Lodge_kWh
1357077600000, -1.0
1357079400000, -1.0
1357081200000, -1.0
1357083000000, -1.0
1357084800000, -1.0
1357086600000, -1.0
1357088400000, -1.0
1357090200000, -1.0
1357092000000, -1.0
1357093800000, -1.0
1357095600000, -1.0
1357097400000, -1.0
1357099200000, -1.0
1357101000000, -1.0
1357102800000, -1.0
1357104600000, -1.0
1357106400000, -1.0
1357108200000, -1.0
1357110000000, -1.0
1357111800000, -1.0
1357113600000, -1.0
1357115400000, -1.0
1357117200000, -1.0
1357119000000, -1.0
1357120800000, -1.0
1357122600000, -1.0
1357124400000, -1.0
1357126200000, -1.0
1357128000000, -1.0
1357129800000, -1.0
1357131600000, -1.0
1357133400000, -1.0
1357135200000, -1.0
1357137000000, -1.0
1357138800000, -1.0
1357140600000, -1.0
1357142400000, -1.0
1357144200000, -1.0
1357146000000, -1.0
1357147800000, -1.0
1357149600000, -1.0
1357151400000, -1.0
1357153200000, -1.0
1357155000000, -1.0
1357156800000, -1.0
1357158600000, -1.0
1357160400000, -1.0
1357162200000, -1.0
1357164000000, -1.0
1357165800000, -1.0
1357167600000, -1.0
1357169400000, -1.0
1357171200000, -1.0
1357173000000, -1.0
1357174800000, -1.0
1357176600000, -1.0
1357178400000, -1.0
1357180200000, -1.0
1357182000000, -1.0
1357183800000, -1.0
1357185600000, -1.0
1357187400000, -1.0
1357189200000, -1.0
1357191000000, -1.0
1357192800000, -1.0
1357194600000, -1.0
1357196400000, -1.0
1357198200000, -1.0
1357200000000, -1.0
1357201800000, -1.0
1357203600000, -1.0
1357205400000, -1.0
1357207200000, -1.0
1357209000000, -1.0
1357210800000, -1.0
1357212600000, -1.0
1357214400000, -1.0
1357216200000, -1.0
1357218000000, -1.0
1357219800000, -1.0
1357221600000, -1.0
1357223400000, -1.0
1357225200000, -1.0
1357227000000, -1.0
1357228800000, -1.0
1357230600000, -1.0
1357232400000, -1.0
1357234200000, -1.0
1357236000000, -1.0
1357237800000, -1.0
1357239600000, -1.0
1357241400000, -1.0
1357243200000, -1.0
1357245000000, -1.0
1357246800000, -1.0
1357248600000, -1.0
1357250400000, -1.0
1357252200000, -1.0
1357254000000, -1.0
1357255800000, -1.0
1357257600000, -1.0
1357259400000, -1.0
1357261200000, -1.0
1357263000000, -1.0
1357264800000, -1.0
1357266600000, -1.0
1357268400000, -1.0
1357270200000, -1.0
1357272000000, -1.0
1357273800000, -1.0
1357275600000, -1.0
1357277400000, -1.0
1357279200000, -1.0
1357281000000, -1.0
1357282800000, -1.0
1357284600000, -1.0
1357286400000, -1.0
1357288200000, -1.0
1357290000000, -1.0
1357291800000, -1.0
1357293600000, -1.0
1357295400000, -1.0
1357297200000, -1.0
1357299000000, -1.0
1357300800000, -1.0
1357302600000, -1.0
1357304400000, -1.0
1357306200000, -1.0
1357308000000, -1.0
1357309800000, -1.0
1357311600000, -1.0
1357313400000, -1.0
1357315200000, -1.0
1357317000000, -1.0
1357318800000, -1.0
1357320600000, -1.0
1357322400000, -1.0
1357324200000, -1.0
1357326000000, -1.0
1357327800000, -1.0
1357329600000, -1.0
1357331400000, -1.0
1357333200000, -1.0
1357335000000, -1.0
1357336800000, -1.0
1357338600000, -1.0
1357340400000, -1.0
1357342200000, -1.0
1357344000000, -1.0
1357345800000, -1.0
1357347600000, -1.0
1357349400000, -1.0
1357351200000, -1.0
1357353000000, -1.0
1357354800000, -1.0
1357356600000, -1.0
1357358400000, -1.0
1357360200000, -1.0
1357362000000, -1.0
1357363800000, -1.0
1357365600000, -1.0
1357367400000, -1.0
1357369200000, -1.0
1357371000000, -1.0
1357372800000, -1.0
1357374600000, -1.0
1357376400000, -1.0
1357378200000, -1.0
1357380000000, -1.0
1357381800000, -1.0
1357383600000, -1.0
1357385400000, -1.0
1357387200000, -1.0
1357389000000, -1.0
1357390800000, -1.0
1357392600000, -1.0
1357394400000, -1.0
1357396200000, -1.0
1357398000000, -1.0
1357399800000, -1.0
1357401600000, -1.0
1357403400000, -1.0
1357405200000, -1.0
1357407000000, -1.0
